ax,ay,az,gx,gy,gz,label
0.1996,0.2479,0.2186,-128.17,397.04,-197.75,A
-0.0439,-0.0366,-0.2938,-48.79,310.38,-155.54,A
-0.6051,-0.2889,-0.7008,-63.56,68.25,-87.15,A
-0.5656,-0.2499,-1.2825,-0.98,-135.87,-13.51,A
0.7837,-0.1362,-0.4002,207.83,-712.39,-12.67,A
1.219,0.0371,0.9984,196.21,-865.69,117.32,A
1.0487,0.5583,1.6743,116.62,-726.46,191.52,A
0.468,0.8642,2.5347,37.59,-791.84,208.11,A
0.2167,0.5075,2.3683,184.8,209.37,-92.96,A
0.3899,0.7222,1.7178,242.06,245.7,-39.41,A
0.1815,0.4792,0.9028,271.25,323.68,-151.41,A
0.4363,0.0381,1.1009,-122.92,240.52,-31.29,A
0.0693,0.3704,0.8603,-36.61,264.18,67.9,A
-0.3353,1.9827,1.2537,26.53,-171.43,-133.07,A
0.2879,0.751,0.9892,51.03,-148.4,-408.24,A
0.5666,-0.4163,1.2546,99.61,-138.95,-391.79,A
0.5827,-1.0721,1.6582,147.0,-89.67,-298.55,A
0.3099,-0.6661,1.3352,116.34,67.34,99.26,A
0.0639,-0.0971,0.7105,40.6,42.07,120.4,A
-0.1191,0.425,0.5856,-84.0,32.2,119.98,A
-0.1308,0.5246,1.2942,-34.02,-45.01,136.57,A
0.7652,-0.6461,-0.651,-17.92,-612.36,155.19,A
1.2366,-0.5144,0.2557,38.29,-716.24,354.69,A
1.3117,0.2396,0.832,149.17,-666.19,315.14,A
1.1009,0.7793,1.4782,104.3,-616.21,288.89,A
0.9467,0.7852,2.1648,155.12,-508.62,248.64,A
0.4826,1.6289,2.6601,192.22,-54.46,165.34,A
0.163,2.0418,2.6132,78.82,71.47,49.14,A
0.3426,1.1644,1.3957,46.27,261.17,-159.81,A
0.1064,1.565,1.9764,97.09,226.59,-183.75,A
0.5968,0.9667,1.6094,-101.99,420.84,-345.24,A
0.4143,0.2884,0.6827,-164.64,453.88,-291.55,A
0.022,-0.5856,-0.2001,12.81,230.3,-86.03,A
-0.5251,-0.1249,-0.8028,-23.31,134.26,-48.09,A
-0.6603,0.1728,-1.4933,-96.32,-14.77,-31.71,A
0.0503,-0.4089,-1.4986,-97.16,-391.79,24.78,A
0.7325,-0.0127,-0.9721,-26.6,-521.01,30.1,A
0.9077,-0.1152,-0.1645,138.88,-768.81,-76.3,A
1.3991,0.3353,1.0053,150.15,-1023.26,-10.99,A
1.2639,0.5222,1.9276,61.04,-866.32,53.27,A
0.8745,0.6217,2.6562,8.82,-794.43,98.49,A
1.0995,-0.0249,2.3922,148.33,-476.28,16.66,A
0.5744,0.2679,1.9827,179.34,69.3,-77.84,A
0.3167,0.1523,0.8769,422.1,279.79,-124.25,A
0.4402,0.8691,1.2151,171.08,176.89,-150.92,A
0.7608,0.0205,1.321,-131.46,302.68,-20.79,A
0.5958,0.5724,1.1814,32.41,356.58,113.47,A
-0.1322,2.2058,0.6812,-0.91,-196.35,-228.69,A
0.3099,1.6002,1.1566,24.92,-177.03,-404.32,A
0.7047,0.2367,1.5636,63.0,-158.2,-473.2,A
0.6861,-1.118,2.0267,144.97,-167.58,-442.4,A
0.7174,-2.0008,2.7006,234.01,-105.35,-351.96,A
0.2113,-0.6456,1.4035,150.36,103.81,41.86,A
-0.1127,0.1693,0.4797,10.43,80.92,55.58,A
-0.2303,0.0849,-0.1908,-58.1,48.93,53.41,A
-0.3245,0.2987,0.3074,-26.46,-54.11,24.36,A
-0.5895,0.0205,0.3743,-1.4,29.89,-13.51,A
0.752,-0.2255,-0.0659,1.68,-538.44,283.5,A
1.1122,0.0722,0.4631,-24.43,-551.81,367.36,A
0.8442,0.5895,0.6808,-74.06,-516.81,244.86,A
1.5411,0.4485,1.3283,40.46,-450.24,214.41,A
1.1024,1.5782,2.3941,252.56,-299.53,262.64,A
0.612,2.198,3.1818,94.71,-241.36,203.49,A
0.4695,2.3927,3.1569,112.14,174.58,-36.47,A
0.5734,2.0452,2.3648,21.84,226.52,-159.25,A
0.673,-0.0625,0.1093,-145.53,393.75,-332.15,A
0.2625,-0.4216,-0.3099,-97.16,282.03,-266.28,A
0.0888,-0.8847,-0.5524,14.7,225.54,-186.9,A
-0.5178,-0.4846,-1.3576,-209.44,0.07,78.82,A
-0.4592,0.0449,-1.1478,-189.14,-172.27,78.61,A
0.3421,0.327,-1.3727,-97.93,-359.45,4.62,A
1.4811,0.3733,-0.4192,125.16,-952.98,6.86,A
1.6109,0.7901,1.0155,20.65,-905.03,11.55,A
1.2527,0.8208,2.3634,-36.4,-978.39,-0.91,A
1.6631,-0.3777,2.0252,199.57,-729.68,-145.32,A
1.3908,-0.3953,2.8655,343.35,-552.02,-74.97,A
1.0853,0.4763,2.9485,367.85,-38.71,36.61,A
0.975,-0.2542,1.7192,304.08,109.97,-21.98,A
0.8042,0.3011,1.322,269.36,147.0,22.89,A
0.3894,1.7534,1.5069,295.47,150.29,-213.57,A
1.035,0.5207,1.5723,84.28,198.24,-38.43,A
0.6217,0.7203,0.4002,-124.46,478.94,105.91,A
0.4124,0.3733,-0.0068,-178.43,407.82,123.69,A
0.0293,0.6539,0.1244,-115.29,255.71,224.14,A
-0.1903,1.2947,0.2826,-62.79,233.52,188.79,A
-0.5534,1.8446,0.2464,-113.75,171.57,92.68,A
0.6027,1.7007,0.4099,6.09,-200.9,-480.97,A
0.8999,0.5075,0.9209,27.86,-191.52,-507.85,A
0.8467,-0.7374,1.7178,97.09,-175.56,-483.63,A
0.5749,-1.7241,2.0838,131.18,-171.78,-435.89,A
0.5822,-2.3702,2.4117,172.9,-101.22,-305.48,A
0.5797,-1.5465,2.1736,167.16,29.54,-52.15,A
0.1908,-0.2523,0.916,107.87,70.14,127.61,A
-0.2172,0.143,0.2533,-22.33,10.36,146.09,A
-0.5319,0.2835,0.7413,19.46,248.43,-136.57,A
-0.6188,-0.3958,-0.5568,19.46,138.18,-64.12,A
-0.6715,-0.5661,-1.3815,0.84,-73.43,-98.77,A
-0.2908,-0.5158,-0.9809,-102.62,-237.16,-58.94,A
0.4699,-1.1117,-1.0907,-178.08,-529.9,24.99,A
1.1297,-1.0233,-0.8901,-128.59,-703.5,58.94,A
2.1165,-1.1268,-0.793,-103.25,-880.46,187.67,A
2.4751,-0.5705,-0.1889,-77.63,-1021.02,312.9,A
2.8636,-0.0063,0.6969,-58.8,-1009.4,285.53,A
2.174,0.8477,2.053,-203.14,-1112.51,248.01,A
2.5781,-0.1503,2.2131,-51.45,-716.03,69.79,A
2.6293,-0.5314,2.9773,197.82,-606.9,56.63,A
2.5679,0.0493,4.0792,403.27,-301.56,114.31,A
1.971,1.0995,4.0738,447.79,92.05,192.15,A
1.2185,1.8666,2.9802,417.41,283.36,127.47,A
0.6891,2.0745,2.0706,340.55,337.26,-26.18,A
1.0482,1.8983,2.6401,105.63,449.19,-307.51,A
1.5967,1.2117,2.1911,-37.8,633.71,-388.57,A
1.3352,0.1137,0.5256,4.76,658.98,-359.38,A
1.057,-0.4724,-0.1625,-23.1,558.32,-252.21,A
0.6876,-0.5666,-0.5075,-91.56,524.79,-167.23,A
0.0059,-0.8721,-1.4991,68.32,400.4,-175.84,A
-0.2391,-0.9331,-2.6986,152.11,256.13,-113.82,A
-0.4109,-0.2225,-3.3155,13.72,-57.4,5.67,A
0.0288,-0.0966,-2.4722,27.72,-397.67,155.68,A
0.9804,0.303,-2.0603,-36.54,-511.14,228.62,A
1.3274,1.8676,-0.772,-137.83,-659.47,110.88,A
1.5962,1.2634,0.3567,-178.57,-903.84,-142.1,A
2.0242,0.5895,1.4381,-98.98,-992.39,-249.06,A
1.7636,0.3113,2.7709,-12.18,-975.03,-311.57,A
1.588,-0.4133,3.0461,217.63,-619.01,-338.59,A
1.5352,-0.8906,3.4765,314.72,-324.03,-205.66,A
1.4386,-0.6168,2.9963,325.36,69.79,-45.99,A
0.9804,0.266,2.1858,218.54,258.37,2.59,A
0.9043,0.3396,1.5396,169.54,224.7,112.84,A
0.1893,-0.4485,0.8457,155.89,304.5,60.13,A
-0.4934,0.7408,0.5061,208.95,99.61,-176.12,A
0.5309,0.1279,0.6749,49.35,222.95,-16.59,A
1.0038,-0.4065,1.6299,28.21,127.05,95.9,A
1.0609,0.0795,1.9378,66.99,252.91,220.92,A
0.8252,0.8169,1.686,-17.22,343.21,242.2,A
0.6373,1.0878,1.2141,-102.55,373.45,223.09,A
0.0083,3.4994,0.631,-30.38,-100.31,-208.32,A
0.2474,2.9739,0.5119,31.78,-102.76,-636.3,A
1.2132,0.6866,0.6534,13.44,-161.35,-666.26,A
1.2825,-0.3728,1.3264,16.03,-204.61,-625.1,A
0.9848,-1.5465,2.1174,88.62,-248.78,-549.78,A
0.7896,-2.826,2.5996,225.26,-193.27,-447.93,A
0.5129,-1.0433,1.9125,168.35,44.73,108.36,A
-0.0429,0.4831,0.9443,35.0,53.13,138.11,A
-0.2157,0.8808,0.5148,-82.95,35.35,59.85,A
0.5275,-0.7574,-0.5451,-63.28,-569.87,108.5,A
1.0341,-0.6749,-0.0883,-42.49,-639.73,206.29,A
1.0463,-0.1801,0.2294,-65.31,-597.38,279.02,A
1.3498,0.2606,1.179,34.58,-707.77,326.83,A
1.4367,0.222,2.4205,186.06,-394.8,163.24,A
1.1312,0.7159,2.6396,242.41,11.9,208.18,A
0.7398,1.4864,1.9793,247.38,44.94,168.28,A
0.385,1.7065,1.5518,181.58,23.1,77.63,A
0.4953,1.4352,1.7495,22.05,362.81,-278.18,A
0.9823,0.2362,1.5299,-1.12,440.51,-367.57,A
0.9496,-0.141,0.9091,-14.14,486.57,-326.27,A
0.5407,-0.2201,0.5607,-18.55,409.78,-244.86,A
0.205,-0.3494,-0.0708,19.95,377.23,-51.94,A
-0.1737,-0.6354,-0.9472,-63.35,329.49,-61.18,A
-0.6066,-0.144,-1.6241,-136.15,210.14,-82.25,A
-0.7169,0.1606,-2.521,-195.09,-26.67,-53.76,A
-0.4939,-0.1674,-1.954,-190.89,-256.06,-48.44,A
0.0991,-0.1249,-1.5611,-0.21,-426.16,-57.68,A
1.3298,0.324,-0.4138,27.93,-740.53,-14.84,A
1.2239,0.2147,0.835,-31.85,-745.99,17.85,A
1.1283,0.6237,1.6816,46.62,-807.03,17.71,A
0.9048,0.8501,2.1687,217.35,-258.02,-60.27,A
1.2263,-0.0698,1.5958,226.94,-135.59,27.72,A
