Ax,Ay,Az,Gx,Gy,Gz,Label
-0.3782,0.0649,0.9462,5.53,-12.81,1.54,A
-0.368,0.0581,0.978,7.28,-14.21,-1.82,A
-0.3489,0.0337,1.0638,9.66,-2.38,0.35,A
-0.3616,0.0551,0.9755,2.73,5.88,0.14,A
-0.3753,0.0639,0.9165,2.8,-3.08,-0.77,A
-0.3645,0.0322,0.9394,5.11,-7.42,-0.84,A
-0.3601,0.0244,0.9272,7.0,-9.17,-1.33,A
-0.3533,0.0244,0.9623,8.89,-9.94,-0.49,A
-0.3523,0.0259,0.978,3.92,-6.37,1.82,A
-0.3509,0.042,0.9941,1.19,-3.64,2.17,A
-0.3582,0.06,0.9858,-2.24,-3.85,1.54,A
-0.3592,0.0522,0.9882,-1.33,-2.52,-1.75,A
-0.3455,0.0142,0.9862,-0.63,0.98,-3.15,A
-0.3499,-0.001,0.956,2.1,0.35,0.42,A
-0.3528,0.0093,0.935,2.94,-4.41,2.94,A
-0.3562,0.0264,0.9296,1.4,-5.81,2.8,A
-0.3543,0.0215,0.9204,-0.14,-9.73,2.1,A
-0.3494,0.0024,0.9262,1.89,-13.02,3.5,A
-0.3362,0.022,1.0638,9.52,-11.27,5.46,A
-0.3221,0.0644,1.1312,11.41,10.85,4.69,A
-0.3548,0.0854,0.9887,0.0,16.59,-1.33,A
-0.3694,0.0425,0.9116,-1.54,5.95,-1.89,A
-0.3518,-0.0039,0.9633,4.9,7.0,2.24,A
-0.3797,0.0298,0.875,1.26,4.48,3.22,A
0.2474,-0.0146,0.6564,24.43,298.55,152.46,A
0.0005,0.4002,0.5061,16.87,225.05,148.68,A
-0.1288,0.6193,0.507,-9.24,150.43,113.82,A
-0.2089,0.6324,0.5871,-55.09,120.19,67.62,A
-0.2752,0.5075,0.6993,-43.26,85.68,34.79,A
-0.2586,0.3875,0.7169,-6.09,57.05,23.59,A
-0.2542,0.3109,0.8276,16.66,38.64,34.58,A
-0.2416,0.3548,0.8696,35.35,36.05,45.64,A
-0.2826,0.4743,0.7857,38.5,18.34,45.57,A
-0.2865,0.4792,0.7398,32.55,-14.28,35.77,A
-0.2503,0.4314,0.8774,42.07,-28.14,29.75,A
-0.2499,0.4665,0.8477,46.83,-33.53,24.43,A
-0.184,0.3201,0.874,40.88,-37.73,19.67,A
