Ax,Ay,Az,Gx,Gy,Gz,Label
-0.3016,-0.5573,0.9091,19.88,45.43,41.86,A
-0.2796,-0.6344,0.9989,7.21,65.31,46.55,A
-0.2913,-0.5836,0.8198,10.78,81.13,65.52,A
-0.3523,-0.4514,0.7422,23.73,71.19,76.65,A
-0.3743,-0.3177,0.731,23.1,62.58,62.65,A
-0.3977,-0.3152,0.7725,17.15,52.57,36.68,A
-0.3753,-0.385,0.7886,7.42,53.9,20.86,A
-0.3875,-0.4226,0.7379,-0.63,55.3,13.58,A
-0.3958,-0.4221,0.5861,-3.22,53.27,16.17,A
-0.4158,-0.4138,0.5197,2.87,36.19,16.38,A
-0.4153,-0.4021,0.6046,0.63,25.27,19.95,A
-0.425,-0.3592,0.6037,6.09,19.74,25.55,A
-0.4299,-0.4231,0.7359,-4.76,18.55,21.0,A
-0.4397,-0.4241,0.6329,-4.83,18.76,25.2,A
-0.4436,-0.3245,0.5519,3.08,11.41,30.73,A
-0.4695,-0.2743,0.468,14.14,-9.45,17.99,A
-0.4607,-0.2664,0.5583,14.49,-25.76,5.95,A
-0.4133,-0.3689,0.9326,-13.93,-9.87,7.35,A
-0.4534,-0.3284,0.7471,-19.46,8.54,12.53,A
-0.4729,-0.3997,0.5573,-16.52,3.08,3.99,A
-0.4695,-0.4499,0.6139,-11.06,-16.38,7.77,A
-0.4651,-0.3865,0.6812,-1.61,-16.87,11.41,A
-0.4738,-0.2821,0.6656,7.84,-18.69,3.01,A
-0.4665,-0.2513,0.6393,3.08,-27.51,-13.51,A
-0.4475,-0.2406,0.5963,-0.77,-37.17,-26.32,A
-0.4363,-0.2874,0.4909,3.85,-56.42,-41.02,A
-0.3748,-0.5617,0.672,-11.13,-62.51,-37.52,A
-0.3455,-0.6266,0.5646,-7.91,-61.18,-16.66,A
-0.3489,-0.5266,0.4714,7.42,-70.49,0.14,A
-0.347,-0.2957,0.4192,22.75,-84.77,-3.78,A
-0.3094,-0.0581,0.2469,32.97,-99.12,-21.49,A
-0.2484,0.0024,-0.1664,56.7,-141.26,-55.65,A
-0.1166,0.0815,-0.1186,58.24,-219.03,-98.49,A
0.0356,-0.0322,0.0293,29.68,-286.93,-149.38,A
0.2381,-0.1991,0.0864,-0.28,-338.59,-179.48,A
0.4514,-0.466,0.2591,-23.31,-410.2,-190.05,A
0.6266,-0.6515,0.4597,-44.66,-478.87,-167.16,A
0.7891,-0.7676,0.7027,-40.25,-517.3,-133.14,A
0.753,-0.8355,1.1034,17.99,-524.37,-95.48,A
1.2302,-0.8023,2.3307,89.74,-442.4,-24.71,A
0.6739,-1.1941,2.1692,-184.45,-321.51,-106.89,A
0.8457,-2.0169,3.1012,-37.73,-172.69,17.99,A
1.0297,-1.8368,3.2486,5.88,192.29,158.41,A
1.0092,-0.9575,2.0906,-15.54,339.08,237.65,A
0.7037,-0.1562,0.7549,27.93,294.0,213.64,A
0.4543,-0.0493,0.9516,35.42,159.46,122.36,A
0.3889,-0.1508,1.0946,-12.88,136.15,70.35,A
0.306,-0.3489,1.0687,-23.87,123.76,46.55,A
0.1303,-0.6046,1.2361,-7.07,109.97,36.05,A
0.2772,-0.6573,1.6397,-31.08,178.92,58.94,A
0.2357,-0.5675,1.2449,-50.47,203.35,59.92,A
0.1923,-0.6373,0.9189,-15.12,214.27,48.37,A
0.1303,-0.7598,0.6891,31.92,197.26,40.39,A
0.0102,-0.7535,0.5988,68.18,139.44,45.29,A
0.0093,-0.6793,0.9394,57.68,118.86,48.44,A
-0.0298,-0.6173,1.0106,52.71,130.27,51.1,A
-0.0551,-0.547,1.0131,44.38,142.8,45.57,A
-0.0859,-0.5353,0.9931,27.79,151.27,37.24,A
-0.1298,-0.4597,0.8194,20.79,155.05,33.95,A
-0.1718,-0.4558,0.7559,16.38,142.38,27.79,A
-0.1732,-0.5719,0.8325,3.92,135.94,26.04,A
-0.204,-0.5988,0.651,14.28,138.32,38.99,A
-0.2611,-0.571,0.4241,45.78,117.46,45.22,A
-0.2894,-0.5417,0.5256,59.08,90.65,41.51,A
-0.3318,-0.3723,0.6466,60.34,80.92,39.76,A
-0.3489,-0.2889,0.7588,49.77,86.66,25.41,A
-0.364,-0.2913,0.6251,34.09,91.98,11.27,A
-0.3904,-0.2806,0.4577,28.0,81.27,-1.68,A
-0.4124,-0.2386,0.4026,22.96,59.78,-11.06,A
-0.4231,-0.1591,0.2772,29.19,33.95,-25.48,A
-0.4168,-0.1113,0.2489,37.24,2.66,-41.72,A
-0.407,-0.101,0.1932,45.99,-29.05,-59.36,A
-0.385,-0.0898,0.2503,53.41,-61.39,-72.38,A
-0.3421,0.0117,0.2298,63.49,-84.63,-85.54,A
-0.2874,0.0883,0.0708,78.61,-121.1,-103.81,A
-0.1791,0.2064,-0.0586,84.49,-167.37,-135.59,A
-0.0493,0.2352,0.0917,74.97,-238.98,-170.45,A
0.0883,0.3016,0.4826,31.57,-277.69,-206.85,A
0.1947,0.2323,0.6769,-36.68,-269.78,-249.2,A
0.3118,-0.0956,0.6534,-96.04,-252.42,-287.84,A
0.4216,-0.5114,0.3709,-114.87,-263.06,-295.61,A
0.5553,-0.9252,0.3558,-67.97,-316.75,-249.27,A
0.6339,-0.9589,0.8296,-20.51,-357.7,-183.75,A
0.6954,-0.8672,1.2654,-13.86,-330.82,-140.98,A
0.6895,-0.7584,1.5406,-0.07,-246.12,-146.37,A
1.0155,-1.6226,1.5274,-167.02,-148.05,-27.37,A
0.997,-0.4797,1.422,-71.89,-94.36,-166.88,A
0.7169,-1.7573,1.6402,176.68,-67.9,-47.25,A
0.7247,-1.2659,2.014,-79.66,9.38,-16.24,A
0.8535,-1.1043,1.3947,3.22,66.5,50.89,A
0.7193,-1.1278,1.2507,-7.42,93.24,77.7,A
0.6695,-0.8935,1.1678,-11.48,104.51,72.87,A
0.6076,-0.8242,0.9697,52.36,90.79,141.33,A
0.4875,-0.5319,1.1063,10.5,102.69,113.96,A
